run_id,config_id,variant,scale,seed,scenario,method_label,service_design,choice_model,reoptimization,routing_solver,evidence_family,diagnostic_role,legacy_class,status,detailed_reason,runtime_s,error_message,result_schema_version,timestamp_utc,artifact_dir,git_commit_or_code_hash,n_requests,n_offered,n_served,acceptance_rate,vehicle_km,served_share,behavioral_acceptance_rate,choice_rejection_rate,feasibility_rejection_rate,vkm_per_served_trip,vkm_per_original_request,avg_wait,p95_wait,avg_walk,avg_ivt,detour_ratio,fairness_index,cpu_time
synthetic_n20_v2_s42:BidirectionalMP_Choice_RH_ALNS:s42,synthetic_n20_v2_s42:scale_20:seed_42,FullModel,20,42,synthetic_n20_v2_s42,BidirectionalMP_Choice_RH_ALNS,bidirectional_mp,binary_logit,rolling_horizon,alns,behavioral_main,main_service_design,FullModel,completed,completed,0.004130000015720725,,phase04.v1,2026-06-15T13:37:28.985123+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\pilot\phase05,4721fa7,20,4,3,0.15,46.40220132464792,0.15,0.95,0.05,0.8,15.467400441549307,2.320110066232396,420.5545810318335,691.9901008162831,1716.9840632800594,886.5696062795975,1.0043289918333291,0.2966830107478622,0.004130000015720725
synthetic_n20_v2_s42:DoorToDoor_Choice_CommonRouting:s42,synthetic_n20_v2_s42:scale_20:seed_42,DoorToDoor,20,42,synthetic_n20_v2_s42,DoorToDoor_Choice_CommonRouting,door_to_door,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_baseline,DoorToDoor,completed,completed,0.002306099981069565,,phase04.v1,2026-06-15T13:37:29.011639+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\pilot\phase05,4721fa7,20,8,4,0.2,72.75317551984813,0.2,0.8,0.2,0.6,18.188293879962032,3.6376587759924064,200.4111407914549,341.1282316551788,0.0,3048.303428478439,3.136766400861007,0.41389701641584176,0.002306099981069565
synthetic_n20_v2_s42:SingleSidedDropoff_Choice_CommonRouting:s42,synthetic_n20_v2_s42:scale_20:seed_42,SingleSidedDropoff,20,42,synthetic_n20_v2_s42,SingleSidedDropoff_Choice_CommonRouting,single_sided_dropoff,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_service_design_baseline,SingleSidedDropoff,completed,completed,0.001567099941894412,,phase04.v1,2026-06-15T13:37:29.033665+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\pilot\phase05,4721fa7,20,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001567099941894412
synthetic_n20_v2_s42:SingleSidedPickup_Choice_CommonRouting:s42,synthetic_n20_v2_s42:scale_20:seed_42,SingleSidedPickup,20,42,synthetic_n20_v2_s42,SingleSidedPickup_Choice_CommonRouting,single_sided_pickup,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_service_design_baseline,SingleSidedPickup,completed,completed,0.0032481998205184937,,phase04.v1,2026-06-15T13:37:29.060853+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\pilot\phase05,4721fa7,20,5,3,0.15,47.48988558755184,0.15,0.9,0.1,0.75,15.82996186251728,2.374494279377592,490.9628726651283,797.6025382662253,793.8391520214922,943.7958101694725,1.1162906065170828,0.27591262019713314,0.0032481998205184937
synthetic_n20_v2_s43:BidirectionalMP_Choice_RH_ALNS:s43,synthetic_n20_v2_s43:scale_20:seed_43,FullModel,20,43,synthetic_n20_v2_s43,BidirectionalMP_Choice_RH_ALNS,bidirectional_mp,binary_logit,rolling_horizon,alns,behavioral_main,main_service_design,FullModel,completed,completed,0.004586399998515844,,phase04.v1,2026-06-15T13:37:29.091018+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\pilot\phase05,4721fa7,20,7,3,0.15,50.40410757279095,0.15,0.8,0.2,0.65,16.801369190930316,2.5202053786395475,200.99428614919512,321.6878780702828,1804.7544588408034,2610.111652799384,2.128268018440612,0.09584688642295891,0.004586399998515844
synthetic_n20_v2_s43:DoorToDoor_Choice_CommonRouting:s43,synthetic_n20_v2_s43:scale_20:seed_43,DoorToDoor,20,43,synthetic_n20_v2_s43,DoorToDoor_Choice_CommonRouting,door_to_door,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_baseline,DoorToDoor,completed,completed,0.0011096999514847994,,phase04.v1,2026-06-15T13:37:29.116761+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\pilot\phase05,4721fa7,20,5,2,0.1,36.653447041760735,0.1,0.85,0.15,0.75,18.326723520880368,1.8326723520880368,595.9712442116128,809.3095927420716,0.0,1094.9815169780443,1.0,0.058539007137828,0.0011096999514847994
synthetic_n20_v2_s43:SingleSidedDropoff_Choice_CommonRouting:s43,synthetic_n20_v2_s43:scale_20:seed_43,SingleSidedDropoff,20,43,synthetic_n20_v2_s43,SingleSidedDropoff_Choice_CommonRouting,single_sided_dropoff,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_service_design_baseline,SingleSidedDropoff,completed,completed,0.0023509999737143517,,phase04.v1,2026-06-15T13:37:29.141563+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\pilot\phase05,4721fa7,20,5,2,0.1,33.92408018700569,0.1,0.85,0.15,0.75,16.962040093502846,1.6962040093502846,506.1347375566612,638.6202300976636,1246.4266590938357,954.9489283393539,1.0,0.02064724156286002,0.0023509999737143517
synthetic_n20_v2_s43:SingleSidedPickup_Choice_CommonRouting:s43,synthetic_n20_v2_s43:scale_20:seed_43,SingleSidedPickup,20,43,synthetic_n20_v2_s43,SingleSidedPickup_Choice_CommonRouting,single_sided_pickup,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_service_design_baseline,SingleSidedPickup,completed,completed,0.0032357999589294195,,phase04.v1,2026-06-15T13:37:29.170416+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\pilot\phase05,4721fa7,20,7,3,0.15,56.40877562906868,0.15,0.8,0.2,0.65,18.80292520968956,2.8204387814534337,316.5779120331272,465.55814168486637,883.7797461602391,1831.3186250904766,1.5839133353577735,0.08883627639085834,0.0032357999589294195
synthetic_n20_v2_s44:BidirectionalMP_Choice_RH_ALNS:s44,synthetic_n20_v2_s44:scale_20:seed_44,FullModel,20,44,synthetic_n20_v2_s44,BidirectionalMP_Choice_RH_ALNS,bidirectional_mp,binary_logit,rolling_horizon,alns,behavioral_main,main_service_design,FullModel,completed,completed,0.0036251998972147703,,phase04.v1,2026-06-15T13:37:29.196530+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\pilot\phase05,4721fa7,20,4,2,0.1,34.59577935910514,0.1,0.9,0.1,0.8,17.29788967955257,1.729788967955257,313.7134774106938,313.968849038092,1702.4296318216093,886.5744066187876,1.0,0.13000973007392558,0.0036251998972147703
synthetic_n20_v2_s44:DoorToDoor_Choice_CommonRouting:s44,synthetic_n20_v2_s44:scale_20:seed_44,DoorToDoor,20,44,synthetic_n20_v2_s44,DoorToDoor_Choice_CommonRouting,door_to_door,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_baseline,DoorToDoor,completed,completed,0.0006738998927175999,,phase04.v1,2026-06-15T13:37:29.220061+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\pilot\phase05,4721fa7,20,3,1,0.05,23.15414467372313,0.05,0.9,0.1,0.85,23.15414467372313,1.1577072336861565,306.2414385207551,306.2414385207551,0.0,1425.432746794006,1.0000000000000002,0.0,0.0006738998927175999
synthetic_n20_v2_s44:SingleSidedDropoff_Choice_CommonRouting:s44,synthetic_n20_v2_s44:scale_20:seed_44,SingleSidedDropoff,20,44,synthetic_n20_v2_s44,SingleSidedDropoff_Choice_CommonRouting,single_sided_dropoff,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_service_design_baseline,SingleSidedDropoff,completed,completed,0.005944899981841445,,phase04.v1,2026-06-15T13:37:29.249207+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\pilot\phase05,4721fa7,20,11,4,0.2,80.57786206873993,0.2,0.65,0.35,0.45,20.144465517184983,4.028893103436997,307.4629734725232,417.95348840688854,1010.3196682376058,2010.603863448323,1.2277662594711813,0.16524484659503158,0.005944899981841445
synthetic_n20_v2_s44:SingleSidedPickup_Choice_CommonRouting:s44,synthetic_n20_v2_s44:scale_20:seed_44,SingleSidedPickup,20,44,synthetic_n20_v2_s44,SingleSidedPickup_Choice_CommonRouting,single_sided_pickup,binary_logit,common_sequential_insertion,greedy_insertion,behavioral_main,behavioral_service_design_baseline,SingleSidedPickup,completed,completed,0.0018512001261115074,,phase04.v1,2026-06-15T13:37:29.272843+00:00,C:\Users\39583\Desktop\4_Publication\3.工作3\results\pilot\phase05,4721fa7,20,3,1,0.05,23.269172389383805,0.05,0.9,0.1,0.85,23.269172389383805,1.1634586194691903,313.4297311580292,313.4297311580292,61.77554526424183,1432.0533035757799,1.004644594279642,0.0,0.0018512001261115074
