variant,scale,seed,acceptance_rate,vehicle_km,avg_wait,p95_wait,avg_walk,avg_ivt,detour_ratio,fairness_index,cpu_time
DoorToDoor,100,42,0.53,775.2053397869848,3666.4166604738016,13641.74498336331,0.0,3755.907665345863,2.927345628598122,0.5505793316553516,0.4796804999932647
DoorToDoorCapped,100,42,0.24,384.77392510689725,4494.069586726315,19654.303880333166,0.0,4358.425185098546,3.3971603019231904,0.534015513273896,0.13111709989607334
SingleSidedPickup,100,42,0.59,866.6366405671932,4846.276203926464,17257.301019982602,1478.9587574226173,4153.364707118208,3.1404247023045126,0.5418129333554054,3.0180853998754174
BidirectionalNoChoice,100,42,0.61,798.3320322656625,3864.9525451045542,13097.232109040742,1937.4390596155858,4692.834332256196,4.110264693450705,0.4946430499042487,1.7017751999665052
FullModel,100,42,0.19,221.21889910003392,398.1132715787118,851.3426417070974,104.46467257537911,1082.9937433868831,1.0,0.4685260256550827,1.6916465999092907
AblationNoRollingHorizon,100,42,0.23,308.70087159062757,667.640857817189,2760.118021314386,2057.0578020956796,3226.595316471308,2.45994693449543,0.4254822757256598,0.1003276000265032
AblationNoChoice,100,42,0.53,629.9658355338702,583.0347985740175,1211.8759983195948,72.77951669456321,1069.0412932810386,1.0,0.40115322504500917,23.678546000039205
DoorToDoor,100,43,0.59,871.6609363808527,5496.680338874146,14697.67588504582,0.0,3539.796540591219,3.6319136492040047,0.541803320333325,0.8736704001203179
DoorToDoorCapped,100,43,0.24,354.4949322575016,2186.326039241513,8346.979140647698,0.0,3106.117048110076,3.213744546719654,0.6207691897448495,0.059435199946165085
SingleSidedPickup,100,43,0.59,819.501818794069,5053.662842691518,17919.509080853128,1267.8041338745472,3600.5823893318816,3.7716501744447672,0.5422465563587806,3.8519062001723796
BidirectionalNoChoice,100,43,0.65,954.4016195976425,5811.182672440384,16211.42754123282,1847.4682232358593,4161.237340840661,4.034465498307734,0.46924175356102427,2.135280900169164
FullModel,100,43,0.14,146.41798090256125,462.1096095439135,898.0717108983189,291.71149262241136,968.6820389155016,1.0,0.31126754297468895,1.8954514998476952
AblationNoRollingHorizon,100,43,0.22,393.34857485791747,2599.7567869172753,13171.014643725714,1530.960984259371,4408.007247025839,5.206265781444064,0.5764423127956042,0.0829042000696063
AblationNoChoice,100,43,0.51,564.6910716488567,443.9928562729412,1024.886557997011,58.65690144279765,1108.6479980540853,1.0,0.4105491900437992,23.888270299881697
DoorToDoor,100,44,0.31,499.8109140065884,4099.999250253261,16509.46468936472,0.0,3842.97757070571,3.689659667939356,0.5605977363740049,0.29825479979626834
DoorToDoorCapped,100,44,0.24,370.2250158274775,4014.250866904931,17369.432829409205,0.0,3522.5989817803215,3.0531483968139335,0.5638882924033755,0.18795990012586117
SingleSidedPickup,100,44,0.41,590.7943812941872,4434.339166521204,14886.913229548998,1197.870923377545,2894.593644847892,2.4247131438734733,0.5036759825696273,2.090799600118771
BidirectionalNoChoice,100,44,0.32,415.565427930395,3022.404714193338,15607.088474831733,1745.8950045378963,2714.6794311643844,2.7134557060514357,0.5250556017750927,0.8880586999002844
FullModel,100,44,0.17,222.52518919271563,599.1189185021728,1075.5619063898746,141.18733887460772,861.0649767525098,1.0,0.3649604261582309,1.1089283998589963
AblationNoRollingHorizon,100,44,0.04,58.27608060368019,133.2207716571149,393.3096022667726,1975.0854364245563,803.4312609324433,1.0,0.33961460154370693,0.01065870001912117
AblationNoChoice,100,44,0.58,717.4632957221659,389.6658417433674,912.4496424065666,176.89340986029995,1109.6718788893872,1.0129275558474518,0.37960357557044144,20.81419870001264
DoorToDoor,200,42,0.58,1693.7530626557734,5822.070713646182,17056.428978682583,0.0,4064.7073749540077,3.775786068302609,0.5062478533228205,3.9588677000720054
DoorToDoorCapped,200,42,0.235,741.632781001325,4059.6339784788233,13918.030808824367,0.0,3516.46274406549,3.7706538991627085,0.5327570018378611,0.3115671998821199
